Customer_ID,Arrival_Time,Transaction_Type,Priority,Teller_ID,Teller_Specialization,Teller_Efficiency,Service_Time,Wait_Time,Queue_Length_At_Arrival
C00088,2025-11-29 13:24:00,Deposit,Regular,T01,General,0.95,4,0,2
C00089,2025-11-29 13:24:00,Loan Inquiry,Regular,T05,General,0.92,15,1,3
C00090,2025-11-29 13:29:00,Deposit,Regular,T03,General,0.9,4,18,2
C00091,2025-11-29 13:33:00,Withdrawal,Regular,T03,General,0.9,4,18,2
C00092,2025-11-29 13:36:00,Deposit,Regular,T05,General,0.92,4,4,2
C00093,2025-11-29 13:44:00,Withdrawal,Regular,T05,General,0.92,2,0,1
C00094,2025-11-29 13:52:00,Deposit,Regular,T01,General,0.95,5,0,1
C00095,2025-11-29 13:56:00,Utility Payment,Regular,T05,General,0.92,5,0,1
C00096,2025-11-29 13:56:00,Deposit,Regular,T03,General,0.9,6,0,2
C00097,2025-11-29 14:00:00,Utility Payment,Regular,T01,General,0.95,5,0,2
C00098,2025-11-29 14:03:00,Withdrawal,Regular,T02,Accounts,0.85,4,0,1
C00099,2025-11-29 14:09:00,Withdrawal,Regular,T01,General,0.95,3,0,0
C00100,2025-11-29 14:11:00,Withdrawal,Regular,T03,General,0.9,4,0,1
C00101,2025-11-29 14:14:00,Deposit,Regular,T04,Loans,0.8,6,0,1
C00102,2025-11-29 14:21:00,Deposit,Regular,T03,General,0.9,4,0,0
C00103,2025-11-29 14:26:00,Deposit,Regular,T01,General,0.95,6,0,0
C00104,2025-11-29 14:28:00,Deposit,Regular,T01,General,0.95,4,4,1
C00105,2025-11-29 14:30:00,Withdrawal,VIP,T05,General,0.92,4,0,1
C00106,2025-11-29 14:35:00,Utility Payment,Senior,T05,General,0.92,5,0,1
C00107,2025-11-29 14:40:00,Deposit,VIP,T03,General,0.9,4,0,0
C00108,2025-11-29 14:42:00,Deposit,Regular,T01,General,0.95,5,0,1
C00109,2025-11-29 14:45:00,Withdrawal,Regular,T04,Loans,0.8,4,0,1
C00110,2025-11-29 14:47:00,Deposit,VIP,T03,General,0.9,6,0,1
C00111,2025-11-29 14:53:00,Loan Inquiry,Regular,T05,General,0.92,12,0,0
C00112,2025-11-29 14:54:00,Deposit,Regular,T01,General,0.95,3,0,1
C00113,2025-11-29 14:54:00,Withdrawal,Regular,T03,General,0.9,6,0,2
C00114,2025-11-29 14:56:00,Utility Payment,Regular,T01,General,0.95,5,1,3
C00115,2025-11-29 14:58:00,Withdrawal,Regular,T01,General,0.95,4,4,3
C00116,2025-11-29 14:59:00,Deposit,Regular,T05,General,0.92,7,6,3
C00117,2025-11-29 15:04:00,Deposit,Regular,T05,General,0.92,4,8,2
C00118,2025-11-29 15:06:00,Deposit,Regular,T03,General,0.9,6,0,1
C00119,2025-11-29 15:11:00,Deposit,Regular,T05,General,0.92,5,5,2
C00120,2025-11-29 15:13:00,Withdrawal,Regular,T05,General,0.92,3,8,1
C00121,2025-11-29 15:17:00,Loan Inquiry,VIP,T05,General,0.92,23,7,1
C00122,2025-11-29 15:22:00,Loan Inquiry,Regular,T05,General,0.92,21,25,1
C00123,2025-11-29 15:23:00,Deposit,Regular,T03,General,0.9,6,0,1
C00124,2025-11-29 15:27:00,Withdrawal,Regular,T03,General,0.9,4,2,2
C00125,2025-11-29 15:33:00,Withdrawal,Regular,T01,General,0.95,3,0,1
C00126,2025-11-29 15:36:00,Utility Payment,Senior,T01,General,0.95,6,0,1
C00127,2025-11-29 15:37:00,Deposit,Regular,T05,General,0.92,4,31,2
C00128,2025-11-29 15:39:00,Withdrawal,Regular,T03,General,0.9,4,0,2
C00129,2025-11-29 15:42:00,Utility Payment,Regular,T01,General,0.95,4,0,2
C00130,2025-11-29 15:47:00,Deposit,Regular,T01,General,0.95,4,0,1
C00131,2025-11-29 15:48:00,Deposit,Regular,T01,General,0.95,5,3,2
C00132,2025-11-29 15:50:00,Withdrawal,Regular,T01,General,0.95,4,6,2
C00133,2025-11-29 15:51:00,Withdrawal,Regular,T05,General,0.92,4,21,2
C00134,2025-11-29 15:57:00,Deposit,Regular,T01,General,0.95,4,3,2
C00135,2025-11-29 16:00:00,Utility Payment,Senior,T05,General,0.92,5,16,2
C00136,2025-11-29 16:02:00,Utility Payment,Regular,T04,Loans,0.8,6,0,2
C00137,2025-11-29 16:08:00,Withdrawal,Regular,T05,General,0.92,5,13,1
C00138,2025-11-29 16:10:00,Withdrawal,Regular,T01,General,0.95,3,0,1
C00139,2025-11-29 16:14:00,Loan Inquiry,Regular,T05,General,0.92,16,12,1
C00140,2025-11-29 16:18:00,Deposit,Regular,T03,General,0.9,4,0,1
C00141,2025-11-29 16:22:00,New Account,Regular,T05,General,0.92,30,20,1
C00142,2025-11-29 16:23:00,Withdrawal,Regular,T05,General,0.92,5,49,1
C00143,2025-11-29 16:27:00,Loan Inquiry,Regular,T04,Loans,0.8,25,0,1
C00144,2025-11-29 16:31:00,Deposit,Regular,T05,General,0.92,4,46,2
C00145,2025-11-29 16:33:00,Deposit,Regular,T01,General,0.95,5,0,2
C00146,2025-11-29 16:36:00,Withdrawal,Regular,T05,General,0.92,3,45,3
C00147,2025-11-29 16:38:00,Utility Payment,Regular,T05,General,0.92,5,46,2
C00148,2025-11-29 16:42:00,Withdrawal,Regular,T01,General,0.95,3,0,2
C00149,2025-11-29 16:43:00,Deposit,Regular,T05,General,0.92,5,46,3
C00150,2025-11-29 16:44:00,Withdrawal,Regular,T05,General,0.92,3,50,3
C00151,2025-11-29 16:47:00,Deposit,Regular,T03,General,0.9,4,0,2
C00152,2025-11-29 16:50:00,Deposit,Regular,T03,General,0.9,6,1,3
C00153,2025-11-29 16:54:00,Loan Inquiry,Regular,T01,General,0.95,20,0,2
C00154,2025-11-29 17:01:00,Deposit,VIP,T03,General,0.9,6,0,2
C00155,2025-11-29 17:02:00,Withdrawal,Regular,T03,General,0.9,4,5,3
C00156,2025-11-29 17:05:00,Deposit,Regular,T01,General,0.95,4,9,3
C00157,2025-11-29 17:08:00,Deposit,Regular,T03,General,0.9,7,3,3
C00158,2025-11-29 17:12:00,Deposit,Regular,T01,General,0.95,5,6,3
C00159,2025-11-29 17:18:00,Deposit,Regular,T03,General,0.9,6,0,2
C00160,2025-11-29 17:19:00,Withdrawal,Regular,T05,General,0.92,4,18,3
C00161,2025-11-29 17:22:00,Deposit,VIP,T01,General,0.95,4,1,3
C00162,2025-11-29 17:24:00,Utility Payment,Regular,T05,General,0.92,7,17,2
C00163,2025-11-29 17:25:00,Loan Inquiry,Regular,T01,General,0.95,17,2,2
C00164,2025-11-29 17:29:00,Deposit,Regular,T05,General,0.92,5,19,2
C00165,2025-11-29 17:31:00,Withdrawal,VIP,T03,General,0.9,4,0,2
C00166,2025-11-29 17:32:00,Withdrawal,Regular,T05,General,0.92,3,21,3
C00167,2025-11-29 17:36:00,Withdrawal,Regular,T05,General,0.92,5,20,2
C00168,2025-11-29 17:37:00,Withdrawal,Regular,T05,General,0.92,3,24,2
C00169,2025-11-29 17:39:00,Deposit,Regular,T01,General,0.95,4,5,2
C00170,2025-11-29 17:44:00,Deposit,Regular,T02,Accounts,0.85,5,0,2
C00171,2025-11-29 17:48:00,Utility Payment,Regular,T03,General,0.9,8,0,2
C00172,2025-11-29 17:49:00,Deposit,Regular,T01,General,0.95,4,0,2
C00173,2025-11-29 17:52:00,Utility Payment,Regular,T05,General,0.92,8,12,3
C00174,2025-11-29 17:54:00,Loan Inquiry,Regular,T01,General,0.95,19,0,2
C00175,2025-11-29 17:56:00,Deposit,Regular,T05,General,0.92,5,16,2
C00176,2025-11-29 18:00:00,Withdrawal,Regular,T03,General,0.9,4,0,2
C00177,2025-11-29 18:04:00,Loan Inquiry,Senior,T05,General,0.92,17,13,2
C00178,2025-11-29 18:05:00,Loan Inquiry,Regular,T01,General,0.95,16,8,2
C00179,2025-11-29 18:08:00,Deposit,Senior,T01,General,0.95,5,21,2
C00180,2025-11-29 18:09:00,Withdrawal,Regular,T03,General,0.9,3,0,2
C00181,2025-11-29 18:11:00,Deposit,Regular,T03,General,0.9,4,1,3
C00182,2025-11-29 18:13:00,Utility Payment,Regular,T01,General,0.95,6,21,3
C00183,2025-11-29 18:15:00,Withdrawal,Regular,T01,General,0.95,3,25,3
C00184,2025-11-29 18:17:00,Withdrawal,Regular,T01,General,0.95,3,26,2
C00185,2025-11-29 18:18:00,Withdrawal,Regular,T05,General,0.92,3,16,2
C00186,2025-11-29 18:19:00,Deposit,Regular,T01,General,0.95,4,27,2
C00187,2025-11-29 18:23:00,Loan Inquiry,Regular,T01,General,0.95,23,27,2
C00188,2025-11-29 18:24:00,Withdrawal,Regular,T05,General,0.92,3,13,2
C00189,2025-11-29 18:27:00,Deposit,Regular,T03,General,0.9,6,0,2
C00190,2025-11-29 18:28:00,Utility Payment,Regular,T01,General,0.95,8,45,3
C00191,2025-11-29 18:32:00,Deposit,Regular,T05,General,0.92,5,8,3
C00192,2025-11-29 18:34:00,Withdrawal,Regular,T01,General,0.95,4,47,2
C00193,2025-11-29 18:37:00,Deposit,Regular,T02,Accounts,0.85,7,0,2
C00194,2025-11-29 18:39:00,Deposit,Regular,T05,General,0.92,7,6,3
C00195,2025-11-29 18:43:00,Utility Payment,Regular,T04,Loans,0.8,6,0,3
C00196,2025-11-29 18:49:00,Withdrawal,Regular,T05,General,0.92,4,3,2
C00197,2025-11-29 18:51:00,Deposit,Regular,T01,General,0.95,5,34,2
C00198,2025-11-29 18:56:00,Withdrawal,VIP,T03,General,0.9,4,0,1
C00199,2025-11-29 18:59:00,New Account,Regular,T05,General,0.92,35,0,2
C00200,2025-11-29 19:02:00,Withdrawal,Regular,T01,General,0.95,3,28,2
C00201,2025-11-29 19:02:00,Deposit,Regular,T05,General,0.92,4,32,2
C00202,2025-11-29 19:06:00,Utility Payment,Regular,T05,General,0.92,7,32,2
C00203,2025-11-29 19:08:00,Deposit,Regular,T05,General,0.92,4,37,2
C00204,2025-11-29 19:14:00,Withdrawal,Regular,T01,General,0.95,5,19,2
C00205,2025-11-29 19:16:00,New Account,Regular,T03,General,0.9,28,0,2
C00206,2025-11-29 19:19:00,Withdrawal,Regular,T03,General,0.9,3,25,3
C00207,2025-11-29 19:26:00,Withdrawal,Senior,T05,General,0.92,5,23,3
C00208,2025-11-29 19:27:00,Deposit,Regular,T05,General,0.92,5,27,3
C00209,2025-11-29 19:31:00,Utility Payment,Senior,T03,General,0.9,7,16,3
C00210,2025-11-29 19:31:00,Deposit,Regular,T03,General,0.9,4,23,3
C00211,2025-11-29 19:35:00,Deposit,Regular,T05,General,0.92,5,24,3
C00212,2025-11-29 19:37:00,Deposit,Regular,T04,Loans,0.8,5,0,3
C00213,2025-11-29 19:39:00,Deposit,Regular,T01,General,0.95,5,0,3
C00214,2025-11-29 19:43:00,Deposit,Regular,T02,Accounts,0.85,5,0,3
C00215,2025-11-29 19:45:00,New Account,Regular,T02,Accounts,0.85,33,3,3
C00216,2025-11-29 19:47:00,Loan Inquiry,Regular,T01,General,0.95,17,0,3
C00217,2025-11-29 19:50:00,Loan Inquiry,Regular,T04,Loans,0.8,19,0,4
C00218,2025-11-29 19:51:00,New Account,Regular,T01,General,0.95,28,13,5
C00219,2025-11-29 19:52:00,Deposit,Regular,T05,General,0.92,4,12,5
C00220,2025-11-29 19:54:00,Deposit,Regular,T05,General,0.92,3,14,5
C00221,2025-11-29 19:57:00,Deposit,Regular,T01,General,0.95,5,35,5
C00222,2025-11-29 19:59:00,Deposit,Regular,T05,General,0.92,5,12,4
C00223,2025-11-29 19:59:00,New Account,Regular,T02,Accounts,0.85,29,22,4
C00224,2025-11-29 20:02:00,Withdrawal,Regular,T01,General,0.95,4,35,4
C00225,2025-11-29 20:06:00,Deposit,Senior,T01,General,0.95,4,35,4
C00226,2025-11-29 20:08:00,Utility Payment,Senior,T05,General,0.92,5,8,4
C00227,2025-11-29 20:12:00,Deposit,Regular,T01,General,0.95,5,33,3
C00228,2025-11-29 20:15:00,New Account,Regular,T02,Accounts,0.85,31,35,3
C00229,2025-11-29 20:16:00,Deposit,Regular,T01,General,0.95,4,34,3
C00230,2025-11-29 20:17:00,Loan Inquiry,Regular,T01,General,0.95,20,37,3
C00231,2025-11-29 20:19:00,Utility Payment,Regular,T03,General,0.9,8,0,3
C00232,2025-11-29 20:21:00,Deposit,Regular,T01,General,0.95,4,53,3
C00233,2025-11-29 20:22:00,Loan Inquiry,Regular,T03,General,0.9,18,5,3
C00234,2025-11-29 20:27:00,Utility Payment,Regular,T03,General,0.9,7,18,3
C00235,2025-11-29 20:28:00,Deposit,Regular,T05,General,0.92,4,0,3
C00236,2025-11-29 20:31:00,Loan Inquiry,Regular,T05,General,0.92,17,1,4
C00237,2025-11-29 20:33:00,Loan Inquiry,Senior,T02,Accounts,0.85,21,48,4
C00238,2025-11-29 20:34:00,Withdrawal,Regular,T05,General,0.92,3,15,4
C00239,2025-11-29 20:41:00,New Account,Regular,T02,Accounts,0.85,36,61,4
C00240,2025-11-29 20:42:00,Loan Inquiry,Senior,T05,General,0.92,20,10,4
C00241,2025-11-29 20:45:00,Utility Payment,Regular,T01,General,0.95,7,33,4
C00242,2025-11-29 20:49:00,Withdrawal,Regular,T04,Loans,0.8,5,0,4
C00243,2025-11-29 20:49:00,Loan Inquiry,Regular,T05,General,0.92,17,23,5
C00244,2025-11-29 20:50:00,Loan Inquiry,Regular,T02,Accounts,0.85,13,88,5
C00245,2025-11-29 20:53:00,Deposit,Regular,T01,General,0.95,5,32,4
C00246,2025-11-29 20:58:00,Utility Payment,Regular,T01,General,0.95,6,32,3
C00247,2025-11-29 20:58:00,Loan Inquiry,Regular,T05,General,0.92,23,31,3
C00248,2025-11-29 21:00:00,Withdrawal,Regular,T03,General,0.9,3,0,3
C00249,2025-11-29 21:01:00,Withdrawal,Regular,T04,Loans,0.8,5,0,4
C00250,2025-11-29 21:02:00,Withdrawal,Regular,T03,General,0.9,4,1,5
C00251,2025-11-29 21:03:00,Loan Inquiry,Regular,T05,General,0.92,18,49,5
C00252,2025-11-29 21:06:00,Loan Inquiry,Regular,T01,General,0.95,13,30,4
C00253,2025-11-29 21:10:00,Deposit,Regular,T05,General,0.92,4,60,3
C00254,2025-11-29 21:13:00,Utility Payment,Regular,T05,General,0.92,7,61,3
C00255,2025-11-29 21:14:00,Loan Inquiry,Regular,T01,General,0.95,15,35,3
C00256,2025-11-29 21:17:00,Utility Payment,Regular,T01,General,0.95,6,47,3
C00257,2025-11-29 21:19:00,Utility Payment,Regular,T03,General,0.9,4,0,3
C00258,2025-11-29 21:22:00,Withdrawal,Regular,T03,General,0.9,2,1,4
C00259,2025-11-29 21:23:00,Deposit,Regular,T01,General,0.95,6,47,4
C00260,2025-11-29 21:27:00,Withdrawal,Regular,T02,Accounts,0.85,2,64,3
C00261,2025-11-29 21:31:00,Deposit,Regular,T01,General,0.95,5,45,3
C00262,2025-11-29 21:34:00,New Account,Senior,T02,Accounts,0.85,36,59,3
C00263,2025-11-29 21:38:00,Withdrawal,Regular,T05,General,0.92,4,43,3
C00264,2025-11-29 21:41:00,Withdrawal,Regular,T03,General,0.9,3,0,3
C00265,2025-11-29 21:46:00,Utility Payment,Regular,T01,General,0.95,4,35,3
C00266,2025-11-29 21:47:00,Loan Inquiry,VIP,T05,General,0.92,12,38,3
C00267,2025-11-29 21:52:00,Withdrawal,Regular,T01,General,0.95,4,33,3
C00268,2025-11-29 21:55:00,Deposit,Senior,T03,General,0.9,6,0,3
C00269,2025-11-29 21:57:00,Loan Inquiry,Regular,T05,General,0.92,16,40,4
C00270,2025-11-29 22:01:00,Deposit,Regular,T01,General,0.95,5,28,3
C00271,2025-11-29 22:02:00,Utility Payment,Regular,T01,General,0.95,4,32,3
C00272,2025-11-29 22:03:00,Withdrawal,Regular,T04,Loans,0.8,5,0,3
C00273,2025-11-29 22:05:00,Deposit,Regular,T05,General,0.92,5,48,4
C00274,2025-11-29 22:05:00,Withdrawal,Regular,T01,General,0.95,4,33,4
C00275,2025-11-29 22:11:00,Deposit,Regular,T01,General,0.95,4,31,3
C00276,2025-11-29 22:14:00,Loan Inquiry,Regular,T01,General,0.95,15,32,3
C00277,2025-11-29 22:15:00,Loan Inquiry,VIP,T01,General,0.95,21,46,3
C00278,2025-11-29 22:18:00,Loan Inquiry,Regular,T03,General,0.9,26,0,3
C00279,2025-11-29 22:20:00,Withdrawal,Regular,T01,General,0.95,5,62,4
C00280,2025-11-29 22:26:00,Deposit,Regular,T03,General,0.9,4,18,4
C00281,2025-11-29 22:26:00,Utility Payment,Regular,T03,General,0.9,4,22,4
C00282,2025-11-29 22:28:00,Withdrawal,Regular,T04,Loans,0.8,5,0,4
C00283,2025-11-29 22:32:00,Withdrawal,Regular,T01,General,0.95,3,55,5
C00284,2025-11-29 22:36:00,Deposit,Regular,T03,General,0.9,4,16,4
C00285,2025-11-29 22:38:00,Deposit,Regular,T01,General,0.95,3,52,4
C00286,2025-11-29 22:41:00,Deposit,Regular,T02,Accounts,0.85,5,28,4
C00287,2025-11-29 22:46:00,Deposit,Regular,T03,General,0.9,4,10,4
C00288,2025-11-29 22:49:00,Deposit,Regular,T01,General,0.95,5,44,4
C00289,2025-11-29 22:51:00,Loan Inquiry,Regular,T05,General,0.92,18,7,4
C00290,2025-11-29 22:52:00,Withdrawal,Regular,T03,General,0.9,6,8,4
C00291,2025-11-29 22:55:00,Withdrawal,Regular,T03,General,0.9,3,11,4
C00292,2025-11-29 22:58:00,Withdrawal,Regular,T03,General,0.9,3,11,4
C00293,2025-11-29 23:01:00,Utility Payment,Regular,T03,General,0.9,7,11,4
C00294,2025-11-29 23:03:00,Withdrawal,Regular,T05,General,0.92,4,13,4
C00295,2025-11-29 23:05:00,Withdrawal,Regular,T05,General,0.92,2,15,4
C00296,2025-11-29 23:07:00,Utility Payment,Regular,T05,General,0.92,9,15,4
C00297,2025-11-29 23:09:00,Utility Payment,Regular,T05,General,0.92,4,22,4
C00298,2025-11-29 23:10:00,Deposit,Regular,T04,Loans,0.8,6,0,4
C00299,2025-11-29 23:16:00,Deposit,Regular,T01,General,0.95,6,22,3
C00300,2025-11-29 23:17:00,Deposit,Regular,T02,Accounts,0.85,6,0,3
C00301,2025-11-29 23:17:00,Deposit,Regular,T03,General,0.9,7,2,4
C00302,2025-11-29 23:19:00,Deposit,Senior,T02,Accounts,0.85,6,4,4
C00303,2025-11-29 23:21:00,Utility Payment,Regular,T01,General,0.95,4,23,4
C00304,2025-11-29 23:24:00,Utility Payment,Regular,T05,General,0.92,8,11,4
C00305,2025-11-29 23:25:00,Deposit,Regular,T05,General,0.92,4,18,4
C00306,2025-11-29 23:29:00,Utility Payment,Regular,T05,General,0.92,8,18,2
C00307,2025-11-29 23:34:00,Withdrawal,Regular,T01,General,0.95,4,14,2
C00308,2025-11-29 23:36:00,Deposit,Regular,T05,General,0.92,4,19,2
C00309,2025-11-29 23:40:00,Utility Payment,Regular,T03,General,0.9,8,0,2
C00310,2025-11-29 23:41:00,Deposit,Regular,T01,General,0.95,3,11,3
C00311,2025-11-29 23:43:00,Deposit,Regular,T01,General,0.95,5,12,3
C00312,2025-11-29 23:45:00,Utility Payment,Regular,T05,General,0.92,8,14,3
C00313,2025-11-29 23:48:00,New Account,Regular,T05,General,0.92,23,19,2
C00314,2025-11-29 23:51:00,Loan Inquiry,Regular,T03,General,0.9,20,0,2
C00315,2025-11-29 23:52:00,Utility Payment,VIP,T01,General,0.95,7,8,3
C00316,2025-11-29 23:55:00,Loan Inquiry,Regular,T01,General,0.95,22,12,3
C00317,2025-11-29 23:59:00,New Account,Regular,T02,Accounts,0.85,31,0,3
C00318,2025-11-30 00:03:00,Withdrawal,Senior,T01,General,0.95,3,26,4
C00319,2025-11-30 00:07:00,Deposit,Regular,T05,General,0.92,4,23,4
C00320,2025-11-30 00:11:00,Utility Payment,Regular,T01,General,0.95,5,21,3
C00321,2025-11-30 00:12:00,Deposit,Regular,T05,General,0.92,5,22,3
C00322,2025-11-30 00:13:00,Deposit,Regular,T01,General,0.95,3,24,3
C00323,2025-11-30 00:14:00,Utility Payment,Regular,T03,General,0.9,8,0,3
C00324,2025-11-30 00:16:00,Deposit,Regular,T01,General,0.95,5,24,4
C00325,2025-11-30 00:17:00,Utility Payment,Regular,T05,General,0.92,7,22,4
